"HCPCS","DESCRIPTION"
"93978","Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; complete study"
"93979","Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; unilateral or limited study"
"93979","Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; unilateral or limited study"
"93979","Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; unilateral or limited study"
"93980","Duplex scan of arterial inflow and venous outflow of penile vessels; complete study"
"93980","Duplex scan of arterial inflow and venous outflow of penile vessels; complete study"
"93980","Duplex scan of arterial inflow and venous outflow of penile vessels; complete study"
"93981","Duplex scan of arterial inflow and venous outflow of penile vessels; follow-up or limited study"
"93981","Duplex scan of arterial inflow and venous outflow of penile vessels; follow-up or limited study"
"93981","Duplex scan of arterial inflow and venous outflow of penile vessels; follow-up or limited study"
"93985","Duplex scan of hemodialysis access, complete bilateral study"
"93985","Duplex scan of hemodialysis access, complete bilateral study"
"93985","Duplex scan of hemodialysis access, complete bilateral study"
"93986","Duplex scan of hemodialysis access, unilateral or limited study"
"93986","Duplex scan of hemodialysis access, unilateral or limited study"
"93986","Duplex scan of hemodialysis access, unilateral or limited study"
"93990","Duplex scan of hemodialysis access, evaluation of arteriovenous shunt"
"93990","Duplex scan of hemodialysis access, evaluation of arteriovenous shunt"
"93990","Duplex scan of hemodialysis access, evaluation of arteriovenous shunt"
"93998","Unlisted noninvasive vascular diagnostic study"
"94002","Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; hospital inpatient/observation, initial day"
"94003","Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; hospital inpatient/observation, each subsequent day"
"94004","Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; nursing facility, per day"
"94005","Home ventilator management supervision"
"94010","Spirometry, including graphic record, total and timed vital capacity and expiratory flow rate measurements"
"94010","Spirometry, including graphic record, total and timed vital capacity and expiratory flow rate measurements"
"94010","Spirometry, including graphic record, total and timed vital capacity and expiratory flow rate measurements"
"94011","Measurement of spirometric forced expiratory flows in an infant or child through 2 years of age"
"94012","Measurement of spirometric forced expiratory flows in an infant or child through 2 years of age, with bronchodilator"
"94013","Measurement of lung volumes in an infant or child through 2 years of age"
"94014","Patient-recorded spirometry, home spirometry, monitoring, and analysis; up to 30 days"
"94015","Patient-recorded spirometry, home spirometry, monitoring, and analysis; recording only"
"94016","Patient-recorded spirometry, home spirometry, monitoring, and analysis; review of data and interpretation"
"94060","Bronchodilation responsiveness; spirometry, pre- and post-bronchodilator administration"
"94060","Bronchodilation responsiveness; spirometry, pre- and post-bronchodilator administration"
"94060","Bronchodilation responsiveness; spirometry, pre- and post-bronchodilator administration"
"94070","Bronchospasm provocation evaluation, multiple spirometric determinations, with administered agents"
"94070","Bronchospasm provocation evaluation, multiple spirometric determinations, with administered agents"
"94070","Bronchospasm provocation evaluation, multiple spirometric determinations, with administered agents"
"94150","Vital capacity, total (separate procedure)"
"94150","Vital capacity, total (separate procedure)"
"94150","Vital capacity, total (separate procedure)"
"94200","Maximum breathing capacity or maximal voluntary ventilation"
"94200","Maximum breathing capacity or maximal voluntary ventilation"
"94200","Maximum breathing capacity or maximal voluntary ventilation"
"94375","Respiratory flow volume loop"
"94375","Respiratory flow volume loop"
"94375","Respiratory flow volume loop"
"94450","Breathing response to hypoxia"
"94450","Breathing response to hypoxia"
"94450","Breathing response to hypoxia"
"94452","High altitude simulation test (HAST), with interpretation and report by physician or other qualified healthcare professional"
"94452","High altitude simulation test (HAST), with interpretation and report by physician or other qualified healthcare professional"
"94452","High altitude simulation test (HAST), with interpretation and report by physician or other qualified healthcare professional"
"94453","High altitude simulation test (HAST), with supplemental oxygen titration"
"94453","High altitude simulation test (HAST), with supplemental oxygen titration"
"94453","High altitude simulation test (HAST), with supplemental oxygen titration"
"94610","Intrapulmonary surfactant administration, delivered by a clinician"
"94617","Exercise test for bronchospasm, including electrocardiographic monitoring"
"94617","Exercise test for bronchospasm, including electrocardiographic monitoring"
"94617","Exercise test for bronchospasm, including electrocardiographic monitoring"
"94618","Pulmonary stress testing, simple"
"94618","Pulmonary stress testing, simple"
"94618","Pulmonary stress testing, simple"
"94619","Exercise test for bronchospasm, without electrocardiographic monitoring"
"94619","Exercise test for bronchospasm, without electrocardiographic monitoring"
"94619","Exercise test for bronchospasm, without electrocardiographic monitoring"
"94621","Cardiopulmonary exercise testing, complex"
"94621","Cardiopulmonary exercise testing, complex"
"94621","Cardiopulmonary exercise testing, complex"
"94625","Physician or other qualified healthcare professional outpatient pulmonary rehabilitation without monitoring"
"94626","Physician or other qualified healthcare professional outpatient pulmonary rehabilitation with monitoring"
"94640","Pressurized or nonpressurized inhalation treatment for acute airway obstruction"
"94642","Aerosol inhalation treatment"
"94644","Continuous inhalation treatment, first hour"
"94645","Continuous inhalation treatment, each additional hour"
"94660","Continuous positive airway pressure (CPAP) initiation and management"
"94664","Demonstration and/or evaluation of patient use of an aerosol generator, nebulizer, metered dose inhaler, or IPPB device"
"94667","Manipulation of chest wall, initial"
"94668","Manipulation of chest wall, subsequent"
"94669","Mechanical chest wall oscillation"
"94680","Oxygen uptake, active or passive, rest and exercise, direct, simple"
"94680","Oxygen uptake, active or passive, rest and exercise, direct, simple"
"94680","Oxygen uptake, active or passive, rest and exercise, direct, simple"
"94681","Oxygen uptake, active or passive, including carbon dioxide output and percentage oxygen extraction"
"94681","Oxygen uptake, active or passive, including carbon dioxide output and percentage oxygen extraction"
"94681","Oxygen uptake, active or passive, including carbon dioxide output and percentage oxygen extraction"
"94690","Oxygen uptake, active or passive, rest, indirect"
"94690","Oxygen uptake, active or passive, rest, indirect"
"94690","Oxygen uptake, active or passive, rest, indirect"
"94726","Plethysmography for determination of lung volumes"
"94726","Plethysmography for determination of lung volumes"
"94726","Plethysmography for determination of lung volumes"
"94727","Gas dilution or washout for determination of lung volumes"
"94727","Gas dilution or washout for determination of lung volumes"
"94727","Gas dilution or washout for determination of lung volumes"
"94728","Airway resistance by oscillometry"
"94728","Airway resistance by oscillometry"
"94728","Airway resistance by oscillometry"
"94729","Diffusing capacity of the lungs for carbon monoxide"
"94729","Diffusing capacity of the lungs for carbon monoxide"
"94729","Diffusing capacity of the lungs for carbon monoxide"
"94760","Noninvasive ear or pulse oximetry for single determination"
"94761","Noninvasive ear or pulse oximetry for multiple determinations"
"94762","Noninvasive ear or pulse oximetry for continuous monitoring"
"94772","Circadian respiratory pattern recording (pediatric pneumogram), 12 to 24 hours"
"94772","Circadian respiratory pattern recording (pediatric pneumogram), 12 to 24 hours"
"94772","Circadian respiratory pattern recording (pediatric pneumogram), 12 to 24 hours"
"94774","Pediatric home apnea monitoring, event recording with transmission, interpretation and report"
"94775","Pediatric home apnea monitoring, hook-up, patient education, and assessment of download only"
"94776","Pediatric home apnea monitoring, download and analysis"
"94777","Pediatric home apnea monitoring, review, interpretation and report"
"94780","Car seat or bed test for infants up to 12 months, first 60 minutes"
"94781","Car seat or bed test for infants up to 12 months, each additional 30 minutes"
"94799","Unlisted pulmonary service or procedure"
"94799","Unlisted pulmonary service or procedure"
"94799","Unlisted pulmonary service or procedure"
"95004","Percutaneous tests (scratch, puncture, prick) with allergenic extracts"
"95012","Nitric oxide expired gas determination"
"95017","Allergy testing, percutaneous and intracutaneous, with venoms"
"95018","Allergy testing, percutaneous and intracutaneous, with drugs or biologicals"
"95024","Intracutaneous (intradermal) tests with allergenic extracts"
"95027","Intracutaneous (intradermal) tests, sequential and incremental, with airborne allergens"
"95028","Intracutaneous (intradermal) tests with allergenic extracts, delayed reaction"
"95044","Patch or application tests"
"95052","Photo patch tests"
"95056","Photo tests"
"95060","Ophthalmic mucous membrane tests"
"95065","Direct nasal mucous membrane test"
"95070","Inhalation bronchial challenge testing"
"95076","Ingestion challenge test, initial 120 minutes of exposure"
"95079","Ingestion challenge test, each additional 60 minutes of exposure"
"95115","Professional services for allergen immunotherapy not including provision of allergenic extracts; single injection"
"95117","Professional services for allergen immunotherapy not including provision of allergenic extracts; 2 or more injections"
"95120","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; single injection"
"95125","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; 2 or more injections"
"95130","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; single stinging insect venom"
"95131","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; 2 stinging insect venoms"
"95132","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; 3 stinging insect venoms"
"95133","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; 4 stinging insect venoms"
"95134","Professional services for allergen immunotherapy in prescription of ophthalmic or parenteral allergen immunotherapy; 5 stinging insect venoms"
"95144","Allergen immunotherapy antigen therapy services"
"95145","Allergen immunotherapy antigen therapy services"
"95146","Allergen immunotherapy antigen therapy services"
"95147","Allergen immunotherapy antigen therapy services"
"95148","Allergen immunotherapy antigen therapy services"
"95149","Allergen immunotherapy antigen therapy services"
"95165","Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy; single or multiple antigens"
"95170","Professional services for the supervision of preparation and provision of antigens for allergen immunotherapy; whole body extract of biting insect"
"95180","Rapid desensitization procedure, each hour"
"95199","Unlisted allergy or clinical immunologic service or procedure"
"95249","Continuous glucose monitoring, patient-provided equipment"
"95250","Continuous glucose monitoring, physician or other qualified healthcare professional-provided equipment"
"95251","Continuous glucose monitoring, analysis, interpretation and report"
"95700","Electroencephalogram (EEG) continuous recording, with video, set-up by EEG technologist"
"95705","Electroencephalogram (EEG) without video, 2 to 12 hours, unmonitored"
"95706","Electroencephalogram (EEG) without video, 2 to 12 hours, intermittent monitoring"
"95707","Electroencephalogram (EEG) without video, 2 to 12 hours, continuous monitoring"
"95708","Electroencephalogram (EEG) without video, each 12 to 26 hours, unmonitored"
"95709","Electroencephalogram (EEG) without video, each 12 to 26 hours, intermittent monitoring"
"95710","Electroencephalogram (EEG) without video, each 12 to 26 hours, continuous monitoring"
"95711","Video electroencephalogram (VEEG), 2 to 12 hours, unmonitored"
"95712","Video electroencephalogram (VEEG), 2 to 12 hours, intermittent monitoring"
"95713","Video electroencephalogram (VEEG), 2 to 12 hours, continuous monitoring"
"95714","Video electroencephalogram (VEEG), each 12 to 26 hours, unmonitored"
"95715","Video electroencephalogram (VEEG), each 12 to 26 hours, intermittent monitoring"
"95716","Video electroencephalogram (VEEG), each 12 to 26 hours, continuous monitoring"
"95717","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, 2 to 12 hours, without video"
"95718","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, 2 to 12 hours, with video"
"95719","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, each increment, without video"
"95720","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, each increment, with video"
"95721","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, greater than 36 hours and less than 60 hours, without video"
"95722","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, greater than 36 hours and less than 60 hours, with video"
"95723","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, greater than 60 hours and less than 84 hours, without video"
"95724","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, greater than 60 hours and less than 84 hours, with video"
"95725","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, greater than 84 hours, without video"
"95726","Electroencephalogram (EEG) professional review, interpretation and report by physician or other qualified healthcare professional, greater than 84 hours, with video"
"95782","Polysomnography; younger than 6 years, sleep staging with 4 or more additional parameters"
"95782","Polysomnography; younger than 6 years, sleep staging with 4 or more additional parameters"
"95782","Polysomnography; younger than 6 years, sleep staging with 4 or more additional parameters"
"95783","Polysomnography; younger than 6 years, sleep staging with 4 or more additional parameters, with initiation of continuous positive airway pressure (CPAP) or bi-level ventilation"
"95783","Polysomnography; younger than 6 years, sleep staging with 4 or more additional parameters, with initiation of continuous positive airway pressure (CPAP) or bi-level ventilation"
"95783","Polysomnography; younger than 6 years, sleep staging with 4 or more additional parameters, with initiation of continuous positive airway pressure (CPAP) or bi-level ventilation"
"95800","Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis, and sleep time"
"95800","Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis, and sleep time"
"95800","Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis, and sleep time"
"95801","Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis"
"95801","Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis"
"95801","Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis"
"95803","Actigraphy testing, recording, analysis, interpretation and report"
"95803","Actigraphy testing, recording, analysis, interpretation and report"
"95803","Actigraphy testing, recording, analysis, interpretation and report"
"95805","Multiple sleep latency or maintenance of wakefulness testing, recording, analysis, and interpretation of physiological recordings of sleep"
"95805","Multiple sleep latency or maintenance of wakefulness testing, recording, analysis, and interpretation of physiological recordings of sleep"
"95805","Multiple sleep latency or maintenance of wakefulness testing, recording, analysis, and interpretation of physiological recordings of sleep"
"95806","Sleep study, unattended, simultaneous recording of heart rate, oxygen saturation, respiratory effort, and airflow"
"95806","Sleep study, unattended, simultaneous recording of heart rate, oxygen saturation, respiratory effort, and airflow"
"95806","Sleep study, unattended, simultaneous recording of heart rate, oxygen saturation, respiratory effort, and airflow"
"95807","Sleep study, attended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis, and sleep time"
"95807","Sleep study, attended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis, and sleep time"
"95807","Sleep study, attended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis, and sleep time"
"95808","Polysomnography; any age, sleep staging with 1 to 3 additional parameters"
"95808","Polysomnography; any age, sleep staging with 1 to 3 additional parameters"
"95808","Polysomnography; any age, sleep staging with 1 to 3 additional parameters"
"95810","Polysomnography; age 6 years or older, sleep staging with 4 or more additional parameters"
"95810","Polysomnography; age 6 years or older, sleep staging with 4 or more additional parameters"
"95810","Polysomnography; age 6 years or older, sleep staging with 4 or more additional parameters"
"95811","Polysomnography; age 6 years or older, sleep staging with 4 or more additional parameters, with initiation of continuous positive airway pressure (CPAP) or bi-level ventilation"
"95811","Polysomnography; age 6 years or older, sleep staging with 4 or more additional parameters, with initiation of continuous positive airway pressure (CPAP) or bi-level ventilation"
"95811","Polysomnography; age 6 years or older, sleep staging with 4 or more additional parameters, with initiation of continuous positive airway pressure (CPAP) or bi-level ventilation"
"95812","Electroencephalogram (EEG) extended monitoring; 41 to 60 minutes"
"95812","Electroencephalogram (EEG) extended monitoring; 41 to 60 minutes"
"95812","Electroencephalogram (EEG) extended monitoring; 41 to 60 minutes"
"95813","Electroencephalogram (EEG) extended monitoring; 61 to 119 minutes"
"95813","Electroencephalogram (EEG) extended monitoring; 61 to 119 minutes"
"95813","Electroencephalogram (EEG) extended monitoring; 61 to 119 minutes"
"95816","Electroencephalogram (EEG); awake and drowsy"
"95816","Electroencephalogram (EEG); awake and drowsy"
"95816","Electroencephalogram (EEG); awake and drowsy"
"95819","Electroencephalogram (EEG); awake and asleep"
"95819","Electroencephalogram (EEG); awake and asleep"
"95819","Electroencephalogram (EEG); awake and asleep"
"95822","Electroencephalogram (EEG); coma or sleep only"
"95822","Electroencephalogram (EEG); coma or sleep only"
"95822","Electroencephalogram (EEG); coma or sleep only"
"95824","Electroencephalogram (EEG); cerebral death evaluation only"
"95824","Electroencephalogram (EEG); cerebral death evaluation only"
"95824","Electroencephalogram (EEG); cerebral death evaluation only"
"95829","Electrocorticogram at surgery (separate procedure)"
"95829","Electrocorticogram at surgery (separate procedure)"
"95829","Electrocorticogram at surgery (separate procedure)"
"95830","Insertion by physician or other qualified healthcare professional of sphenoidal electrodes for electroencephalography"
"95836","Electrocorticography from an implanted brain neurostimulator, recording and analysis; less than 30 days"
"95851","Range of motion measurements and report; each extremity (excluding hand) or each trunk section"
"95852","Range of motion measurements and report; hand, with or without comparison to normal side"
"95857","Cholinesterase inhibitor challenge test for myasthenia gravis"
"95860","Needle electromyography; one extremity with or without related paraspinal areas"
"95860","Needle electromyography; one extremity with or without related paraspinal areas"
"95860","Needle electromyography; one extremity with or without related paraspinal areas"
"95861","Needle electromyography; two extremities with or without related paraspinal areas"
"95861","Needle electromyography; two extremities with or without related paraspinal areas"
"95861","Needle electromyography; two extremities with or without related paraspinal areas"
"95863","Needle electromyography; three extremities with or without related paraspinal areas"
"95863","Needle electromyography; three extremities with or without related paraspinal areas"
"95863","Needle electromyography; three extremities with or without related paraspinal areas"
"95864","Needle electromyography; four extremities with or without related paraspinal areas"
"95864","Needle electromyography; four extremities with or without related paraspinal areas"
"95864","Needle electromyography; four extremities with or without related paraspinal areas"
"95865","Needle electromyography; larynx"
"95865","Needle electromyography; larynx"
"95865","Needle electromyography; larynx"
"95866","Needle electromyography; hemidiaphragm"
"95866","Needle electromyography; hemidiaphragm"
"95866","Needle electromyography; hemidiaphragm"
"95867","Needle electromyography; cranial nerve supplied muscle(s), unilateral"
"95867","Needle electromyography; cranial nerve supplied muscle(s), unilateral"
"95867","Needle electromyography; cranial nerve supplied muscle(s), unilateral"
"95868","Needle electromyography; cranial nerve supplied muscle(s), bilateral"
"95868","Needle electromyography; cranial nerve supplied muscle(s), bilateral"
"95868","Needle electromyography; cranial nerve supplied muscle(s), bilateral"
"95869","Needle electromyography; thoracic paraspinal muscles (excluding T1 or T12)"
"95869","Needle electromyography; thoracic paraspinal muscles (excluding T1 or T12)"
"95869","Needle electromyography; thoracic paraspinal muscles (excluding T1 or T12)"
"95870","Needle electromyography; limited study of muscles in one extremity or non-limb muscles"
"95870","Needle electromyography; limited study of muscles in one extremity or non-limb muscles"
"95870","Needle electromyography; limited study of muscles in one extremity or non-limb muscles"
"95872","Needle electromyography; single fiber electrode, with quantitative measurement of jitter, neuromuscular block"
"95872","Needle electromyography; single fiber electrode, with quantitative measurement of jitter, neuromuscular block"
"95872","Needle electromyography; single fiber electrode, with quantitative measurement of jitter, neuromuscular block"
"95873","Electrical stimulation for guidance of localization of target, for needle placement in injection of neurolytic agent"
"95873","Electrical stimulation for guidance of localization of target, for needle placement in injection of neurolytic agent"
"95873","Electrical stimulation for guidance of localization of target, for needle placement in injection of neurolytic agent"
"95874","Needle electromyography for guidance of localization of target, for needle placement in injection of neurolytic agent"
"95874","Needle electromyography for guidance of localization of target, for needle placement in injection of neurolytic agent"
"95874","Needle electromyography for guidance of localization of target, for needle placement in injection of neurolytic agent"
"95875","Ischemic limb exercise with serial lactic acid and/or ammonia determinations"
"95875","Ischemic limb exercise with serial lactic acid and/or ammonia determinations"
"95875","Ischemic limb exercise with serial lactic acid and/or ammonia determinations"
"95885","Needle electromyography, each extremity, limited study of muscles, in conjunction with nerve conduction studies"
"95885","Needle electromyography, each extremity, limited study of muscles, in conjunction with nerve conduction studies"
"95885","Needle electromyography, each extremity, limited study of muscles, in conjunction with nerve conduction studies"
"95886","Needle electromyography, each extremity, complete study of muscles, in conjunction with nerve conduction studies"
"95886","Needle electromyography, each extremity, complete study of muscles, in conjunction with nerve conduction studies"
"95886","Needle electromyography, each extremity, complete study of muscles, in conjunction with nerve conduction studies"
"95887","Needle electromyography, non-extremity (cranial nerve supplied or thoracic paraspinal) muscle(s), in conjunction with nerve conduction studies"
"95887","Needle electromyography, non-extremity (cranial nerve supplied or thoracic paraspinal) muscle(s), in conjunction with nerve conduction studies"
"95887","Needle electromyography, non-extremity (cranial nerve supplied or thoracic paraspinal) muscle(s), in conjunction with nerve conduction studies"
"95905","Motor and/or sensory nerve conduction studies, with preconfigured electrode array, amplitude and latency/velocity measurement, each nerve"
"95905","Motor and/or sensory nerve conduction studies, with preconfigured electrode array, amplitude and latency/velocity measurement, each nerve"
"95905","Motor and/or sensory nerve conduction studies, with preconfigured electrode array, amplitude and latency/velocity measurement, each nerve"
"95907","Nerve conduction studies; 1 to 2 studies"
"95907","Nerve conduction studies; 1 to 2 studies"
"95907","Nerve conduction studies; 1 to 2 studies"
"95908","Nerve conduction studies; 3 to 4 studies"
"95908","Nerve conduction studies; 3 to 4 studies"
"95908","Nerve conduction studies; 3 to 4 studies"
"95909","Nerve conduction studies; 5 to 6 studies"
"95909","Nerve conduction studies; 5 to 6 studies"
"95909","Nerve conduction studies; 5 to 6 studies"
"95910","Nerve conduction studies; 7 to 8 studies"
"95910","Nerve conduction studies; 7 to 8 studies"
"95910","Nerve conduction studies; 7 to 8 studies"
"95911","Nerve conduction studies; 9 to 10 studies"
"95911","Nerve conduction studies; 9 to 10 studies"
"95911","Nerve conduction studies; 9 to 10 studies"
"95912","Nerve conduction studies; 11 to 12 studies"
"95912","Nerve conduction studies; 11 to 12 studies"
"95912","Nerve conduction studies; 11 to 12 studies"
"95913","Nerve conduction studies; 13 or more studies"
"95913","Nerve conduction studies; 13 or more studies"
"95913","Nerve conduction studies; 13 or more studies"
"95919","Quantitative pupillometry with interpretation and report, unilateral or bilateral"
"95919","Quantitative pupillometry with interpretation and report, unilateral or bilateral"
"95919","Quantitative pupillometry with interpretation and report, unilateral or bilateral"
"95921","Testing of autonomic nervous system function; cardiorespiratory response to deep breathing, Valsalva maneuver, and/or tilt table, parasympathetic innervation"
"95921","Testing of autonomic nervous system function; cardiorespiratory response to deep breathing, Valsalva maneuver, and/or tilt table, parasympathetic innervation"
"95921","Testing of autonomic nervous system function; cardiorespiratory response to deep breathing, Valsalva maneuver, and/or tilt table, parasympathetic innervation"
"95922","Testing of autonomic nervous system function; vasomotor adrenergic response"
"95922","Testing of autonomic nervous system function; vasomotor adrenergic response"
"95922","Testing of autonomic nervous system function; vasomotor adrenergic response"
"95923","Testing of autonomic nervous system function; sudomotor, including quantitative sudomotor axon reflex test"
"95923","Testing of autonomic nervous system function; sudomotor, including quantitative sudomotor axon reflex test"
"95923","Testing of autonomic nervous system function; sudomotor, including quantitative sudomotor axon reflex test"
"95924","Testing of autonomic nervous system function; combined parasympathetic and sympathetic evaluation with tilt table"
"95924","Testing of autonomic nervous system function; combined parasympathetic and sympathetic evaluation with tilt table"
"95924","Testing of autonomic nervous system function; combined parasympathetic and sympathetic evaluation with tilt table"
"95925","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on upper limbs"
"95925","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on upper limbs"
"95925","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on upper limbs"
"95926","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on lower limbs"
"95926","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on lower limbs"
"95926","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on lower limbs"
"95927","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on trunk or head"
"95927","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on trunk or head"
"95927","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on trunk or head"
"95928","Central motor evoked potential study (transcranial motor stimulation); upper limbs"
"95928","Central motor evoked potential study (transcranial motor stimulation); upper limbs"
"95928","Central motor evoked potential study (transcranial motor stimulation); upper limbs"
"95929","Central motor evoked potential study (transcranial motor stimulation); lower limbs"
"95929","Central motor evoked potential study (transcranial motor stimulation); lower limbs"
"95929","Central motor evoked potential study (transcranial motor stimulation); lower limbs"
"95930","Visual evoked potential (VEP) testing central nervous system, with interpretation and report"
"95930","Visual evoked potential (VEP) testing central nervous system, with interpretation and report"
"95930","Visual evoked potential (VEP) testing central nervous system, with interpretation and report"
"95933","Blink reflex, electromyographic study"
"95933","Blink reflex, electromyographic study"
"95933","Blink reflex, electromyographic study"
"95937","Neuromuscular junction testing (repetitive stimulation, paired stimuli), each nerve, any 1 method"
"95937","Neuromuscular junction testing (repetitive stimulation, paired stimuli), each nerve, any 1 method"
"95937","Neuromuscular junction testing (repetitive stimulation, paired stimuli), each nerve, any 1 method"
"95938","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on upper and lower limbs"
"95938","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on upper and lower limbs"
"95938","Short-latency somatosensory evoked potential study, with stimulation of any/all site(s) on upper and lower limbs"
"95939","Central motor evoked potential study (transcranial motor stimulation); upper and lower limbs"
"95939","Central motor evoked potential study (transcranial motor stimulation); upper and lower limbs"
"95939","Central motor evoked potential study (transcranial motor stimulation); upper and lower limbs"
"95940","Continuous intraoperative neurophysiologic monitoring in the operating room, one-on-one monitoring, each 15 minutes"
"95941","Continuous intraoperative neurophysiologic monitoring, remote or more than one patient, each hour"
"95954","Electroencephalogram (EEG) continuous recording, with administration of drugs"
"95954","Electroencephalogram (EEG) continuous recording, with administration of drugs"
"95954","Electroencephalogram (EEG) continuous recording, with administration of drugs"
"95955","Electroencephalogram (EEG) continuous recording during surgery"
"95955","Electroencephalogram (EEG) continuous recording during surgery"
"95955","Electroencephalogram (EEG) continuous recording during surgery"
"95957","Digital analysis of electroencephalogram (EEG)"
"95957","Digital analysis of electroencephalogram (EEG)"
"95957","Digital analysis of electroencephalogram (EEG)"
"95958","Electroencephalogram (EEG) monitoring for localization of cerebral function"
"95958","Electroencephalogram (EEG) monitoring for localization of cerebral function"
"95958","Electroencephalogram (EEG) monitoring for localization of cerebral function"
"95961","Functional cortical and subcortical mapping by stimulation of electrodes on brain surface; first hour"
"95961","Functional cortical and subcortical mapping by stimulation of electrodes on brain brain surface; first hour"
"95961","Functional cortical and subcortical mapping by stimulation of electrodes on brain surface; first hour"
"95962","Functional cortical and subcortical mapping by stimulation of electrodes on brain surface; each additional hour"
"95962","Functional cortical and subcortical mapping by stimulation of electrodes on brain surface; each additional hour"
"95962","Functional cortical and subcortical mapping by stimulation of electrodes on brain surface; each additional hour"
"95965","Magnetoencephalography (MEG), recording and analysis; for spontaneous brain magnetic activity"
"95965","Magnetoencephalography (MEG), recording and analysis; for spontaneous brain magnetic activity"
"95965","Magnetoencephalography (MEG), recording and analysis; for spontaneous brain magnetic activity"
"95966","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, single modality"
"95966","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, single modality"
"95966","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, single modality"
"95967","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, each additional modality"
"95967","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, each additional modality"
"95967","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, each additional modality"
"95970","Electronic analysis of implanted neurostimulator pulse generator system, without programming"
"95971","Electronic analysis of simple spinal cord or peripheral nerve neurostimulator pulse generator system, with programming"
"95972","Electronic analysis of complex spinal cord or peripheral nerve neurostimulator pulse generator system, with programming"
"95976","Electronic analysis of simple cranial nerve neurostimulator pulse generator system, with programming"
"95977","Electronic analysis of complex cranial nerve neurostimulator pulse generator system, with programming"
"95980","Intraoperative electronic analysis of gastric neurostimulator pulse generator system, initial"
"95981","Intraoperative electronic analysis of gastric neurostimulator pulse generator system, subsequent"
"95982","Intraoperative electronic analysis of gastric neurostimulator pulse generator system, subsequent with reprogramming"
"95983","Electronic analysis of brain neurostimulator pulse generator system, with programming; first 15 minutes"
"95984","Electronic analysis of brain neurostimulator pulse generator system, with programming; each additional 15 minutes"
"95990","Refilling and maintenance of implantable pump or reservoir for spinal or brain drug delivery"
"95991","Refilling and maintenance of implantable pump or reservoir for spinal or brain drug delivery, with reprogramming"
